Team,Points,Goals,Assists,Player
Shukr,1,1,0,D.Ciombar
Shukr,1,0,1,M.Hamoud 
Shukr,1,0,1,U.Muhammad 
Haya,1,0,1,S.Khalid 
Haya,1,0,1,J.Mohammad 
Haya,1,0,1,S.Alvi 
Haya,2,2,0,F.Salam 
Haya,1,0,1,A.Khan 
Haya,2,1,1,Boom Boom  
Haya,2,0,2,S.Alvi 
Haya,1,1,0,J.Majeed 
Haya,2,1,1,F.Salam 
Shukr,3,1,2,I.Hindy 
Shukr,1,1,0,D.Ciombar 
Shukr,1,1,0,Coach K 
Shukr,3,0,3,N.Abassi 
Shukr,1,1,0,H.Ali
Shukr,1,0,1,F.Siddiqui
Shukr,1,0,0,S.Hamidi
Shukr,1,1,0,R.Siddiqi
Shukr,1,0,1,M.Hamoud 
Shukr,1,1,0,Coach K 
Haya,1,0,1,N.Faqiri
Haya,2,0,2,J.Mohammad 
Haya,2,2,0,F.Salam 
